,w1,w2,combo,lem1,lem2,phrase
733,inching,higher,inching higher,inching,higher,inching higher
736,attention,moved,attention moved,attention,moved,attention moved
744,last,meeting,last meeting,last,meeting,last meeting
756,gag,order,gag order,gag,order,gag order
757,order,muzzling,order muzzling,order,muzzling,order muzzling
758,muzzling,former,muzzling former,muzzling,former,muzzling former
759,former,drug,former drug,former,drug,former drug
760,drug,company,drug company,drug,company,drug company
761,company,executive,company executive,company,executive,company executive
767,securities,fraud,securities fraud,security,fraud,security fraud
768,fraud,charges,fraud charges,fraud,charge,fraud charge
782,court,papers,court papers,court,paper,court paper
783,papers,show,papers show,paper,show,paper show
