,w1,w2,combo,lem1,lem2,phrase
336,medical,marijuana,medical marijuana,medical,marijuana,medical marijuana
337,marijuana,industry,marijuana industry,marijuana,industry,marijuana industry
340,place,well,place well,place,well,place well
343,full,legalization,full legalization,full,legalization,full legalization
347,affected,youth,affected youth,affected,youth,affected youth
348,youth,attitudes,youth attitudes,youth,attitude,youth attitude
355,study,period,study period,study,period,study period
364,chart,form,chart form,chart,form,chart form
366,compares,marijuana,compares marijuana,compare,marijuana,compare marijuana
367,marijuana,use,marijuana use,marijuana,use,marijuana use
368,use,rates,use rates,use,rate,use rate
369,rates,among,rates among,rate,among,rate among
376,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
379,dark,blue,dark blue,dark,blue,dark blue
381,et,al,et al,et,al,et al
384,perceived,harmfulness,perceived harmfulness,perceived,harmfulness,perceived harmfulness
392,decades,among,decades among,decade,among,decade among
395,age,groups,age groups,age,group,age group
400,adolescent,use,adolescent use,adolescent,use,adolescent use
427,teens,think,teens think,teen,think,teen think
444,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
445,marijuana,market,marijuana market,marijuana,market,marijuana market
456,limited,form,limited form,limited,form,limited form
478,cannabis,really,cannabis really,cannabis,really,cannabis really
489,measured,effect,measured effect,measured,effect,measured effect
499,political,campaign,political campaign,political,campaign,political campaign
500,campaign,around,campaign around,campaign,around,campaign around
501,around,legalization,around legalization,around,legalization,around legalization
507,authors,agree,authors agree,author,agree,author agree
516,change,people,change people,change,people,change people
536,measured,effect,measured effect,measured,effect,measured effect
544,percent,increase,percent increase,percent,increase,percent increase
550,percent,increase,percent increase,percent,increase,percent increase
554,small,magnitude,small magnitude,small,magnitude,small magnitude
563,effect,among,effect among,effect,among,effect among
564,among,either,among either,among,either,among either
575,say,anything,say anything,say,anything,say anything
576,anything,conclusive,anything conclusive,anything,conclusive,anything conclusive
582,recreational,marijuana,recreational marijuana,recreational,marijuana,recreational marijuana
583,marijuana,laws,marijuana laws,marijuana,law,marijuana law
586,teen,marijuana,teen marijuana,teen,marijuana,teen marijuana
587,marijuana,use,marijuana use,marijuana,use,marijuana use
600,legalize,marijuana,legalize marijuana,legalize,marijuana,legalize marijuana
603,also,invest,also invest,also,invest,also invest
612,even,easier,even easier,even,easier,even easier
613,easier,way,easier way,easier,way,easier way
618,adolescent,marijuana,adolescent marijuana,adolescent,marijuana,adolescent marijuana
619,marijuana,use,marijuana use,marijuana,use,marijuana use
620,use,remains,use remains,use,remains,use remains
624,minimum,level,minimum level,minimum,level,minimum level
625,make,sure,make sure,make,sure,make sure
626,sure,marijuana,sure marijuana,sure,marijuana,sure marijuana
644,cannabis,use,cannabis use,cannabis,use,cannabis use
648,advise,states,advise states,advise,state,advise state
658,keep,prices,keep prices,keep,price,keep price
674,smoke,marijuana,smoke marijuana,smoke,marijuana,smoke marijuana
679,marijuana,legalization,marijuana legalization,marijuana,legalization,marijuana legalization
682,look,like,look like,look,like,look like
692,marijuana,use,marijuana use,marijuana,use,marijuana use
697,violent,crimes,violent crimes,violent,crime,violent crime
